Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Series,Protocol Supported,Frequency,Data Rate,Interface Type,Output Power,Operating Supply Voltage,Supply Current Transmitting,Supply Current Receiving,Minimum Operating Temperature,Maximum Operating Temperature,Protocol - WiFi - 802.11,Protocol - Bluetooth, BLE - 802.15.1,Protocol - Cellular, NBIoT, LTE,Protocol - ANT, Thread, Zigbee - 802.15.4,Qualification,Packaging
888-TX54-A146,TX54-A146,DIGI,https://ru.mouser.com/datasheet/2/111/Digi_International_b1-digi-tx54-ds_dated_4-17-20-1838497.pdf,3  In Stock,"$2,106.98",RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/DIGI/TX54-A146?qs=rI7uf1IzohRdrJfBxlTZCw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TX54-A146&utm_content=DIGI,,,,,,,,,,,,WiFi,,,,,,,,,,
888-TX54-A206,TX54-A206,DIGI,https://ru.mouser.com/datasheet/2/111/Digi_International_b1-digi-tx54-ds_dated_4-17-20-1838497.pdf,4  In Stock,"$2,431.38",RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/DIGI/TX54-A206?qs=rI7uf1IzohRsnArUUY7j4g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TX54-A206&utm_content=DIGI,,,,,,,,,,,,WiFi,,,,,,,,,,
888-TX54-A246,TX54-A246,DIGI,https://ru.mouser.com/datasheet/2/111/Digi_International_b1-digi-tx54-ds_dated_4-17-20-1838497.pdf,7  In Stock,"$2,755.78",RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/DIGI/TX54-A246?qs=rI7uf1IzohREInhN6I7Xww==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TX54-A246&utm_content=DIGI,,,,,,,,,,,,WiFi,,,,,,,,,,
651-1043201,1043201,Phoenix Contact,https://ru.mouser.com/datasheet/2/324/4/1043201-1493955.pdf,15  In Stock,"$1,530.35",RoHS Compliant,,https://ru.mouser.com/ProductDetail/Phoenix-Contact/1043201?qs=byeeYqUIh0O3NOeR2HO6FA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1043201&utm_content=Phoenix-Contact,FL WLAN,802.11 a/b/g/n,"2.4 GHz, 5 GHz","10 Mb/s, 100 Mb/s",Ethernet,,24 V,200 mA,200 mA,- 25 C,+ 60 C,WiFi,,,,,,,,,,
710-2610011025000,2610011025000,Wurth Elektronik,https://ru.mouser.com/datasheet/2/445/2610011025000-1551337.pdf,266  In Stock,$58.06,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Wurth-Elektronik/2610011025000?qs=vLWxofP3U2zV8wSKaA5OOw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2610011025000&utm_content=Wurth-Elektronik,Calypso,802.11 b/g/n,2.412 GHz to 2.472 GHz,72.2 Mb/s,UART,16 dBm,2.1 V to 3.6 V,230 mA,76 mA,- 40 C,+ 85 C,WiFi,,,,,"Cut Tape, MouseReel, Reel",,,,,
332-NM-DB-2,NM-DB-2M,Doodle Labs,https://ru.mouser.com/datasheet/2/895/Doodle_Labs_06112019_NM-DB-2M-1602258.pdf,23  In Stock,$316.30,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Doodle-Labs/NM-DB-2M?qs=rrS6PyfT74dZf%2BqwdTmChg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NM-DB-2M&utm_content=Doodle-Labs,NM-DB,802.11 n,"2.412 GHz to 2.484 GHz, 5.18 GHz to 5.825 GHz",300 Mb/s,PCIe,"25 dBm, 27 dBm",3.3 V,,,- 40 C,+ 85 C,WiFi,,PCIe,,,,,,,,
651-2702538,2702538,Phoenix Contact,https://ru.mouser.com/datasheet/2/324/4/2702538-1899951.pdf,7  In Stock,$852.04,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Phoenix-Contact/2702538?qs=0kYgdqhPduEOtGxqtj9ZDA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2702538&utm_content=Phoenix-Contact,FL WLAN,,,,,,,,,0 C,+ 60 C,WiFi,,,,,,,,,,
332-ACM-DB-3,ACM-DB-3M,Doodle Labs,https://ru.mouser.com/datasheet/2/895/Doodle_Labs_06112019_ACM-DB-3M-1602280.pdf,28  In Stock,$369.02,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Doodle-Labs/ACM-DB-3M?qs=rrS6PyfT74cdKos%2BT8C5UA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ACM-DB-3M&utm_content=Doodle-Labs,ACM-DB,802.11 ac,"2.412 GHz to 2.484 GHz, 5.18 GHz to 5.825 GHz",1.3 Gb/s,miniPCIe,"27 dBm, 29 dBm",3.3 V,,,- 40 C,+ 85 C,WiFi,,PCIe,,,,,,,,
651-1043193,1043193,Phoenix Contact,https://ru.mouser.com/datasheet/2/324/4/1043193-1506763.pdf,4  In Stock,"$1,241.61",RoHS Compliant,,https://ru.mouser.com/ProductDetail/Phoenix-Contact/1043193?qs=lc2O%2BfHJPVb50VYs7vUnkw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1043193&utm_content=Phoenix-Contact,,802.11 a/b/g/n,"2.4 GHz, 5 GHz",300 Mb/s,Ethernet,,24 V,,,- 25 C,+ 60 C,WiFi,,,,,,,,,,
332-NM-DB-2U,NM-DB-2U,Doodle Labs,https://ru.mouser.com/datasheet/2/895/Doodle_Labs_06112019_NM-DB-2U-1602252.pdf,16  In Stock,$316.30,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Doodle-Labs/NM-DB-2U?qs=f9yNj16SXrIIls8Jpq/d0g==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NM-DB-2U&utm_content=Doodle-Labs,NM-DB,802.11 n,"2.412 GHz to 2.484 GHz, 5.18 GHz to 5.825 GHz",300 Mb/s,PCIe,"25 dBm, 27 dBm",3.3 V,,,- 40 C,+ 85 C,WiFi,,PCIe,,,Bulk,,,,,
332-NM-DB-3U,NM-DB-3U,Doodle Labs,https://ru.mouser.com/datasheet/2/895/Doodle_Labs_06112019_NM-DB-3U-1602260.pdf,48  In Stock,$369.02,RoHS Compliant,,https://ru.mouser.com/ProductDetail/Doodle-Labs/NM-DB-3U?qs=f9yNj16SXrJ5qj7eCzey2A==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NM-DB-3U&utm_content=Doodle-Labs,NM-DB,802.11 n,"2.412 GHz to 2.484 GHz, 5.18 GHz to 5.825 GHz",450 Mb/s,miniPCIe,"27 dBm, 29 dBm",3.3 V,,,- 40 C,+ 85 C,WiFi,,PCIe,,,Bulk,,,,,
713-102991334,102991334,Seeed Studio,,26  In Stock,$34.80,,,https://ru.mouser.com/ProductDetail/Seeed-Studio/102991334?qs=GedFDFLaBXGGMpIAm2q1gA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=102991334&utm_content=Seeed-Studio,,,"20 MHz, 200 MHz",,USB,,,,,,,,,,,,,,,,,
976-AMPAKAP12356WIFI,AMPAK AP12356 WIFI/BT KIT,ADLINK Technology,,3  In Stock,$163.79,,New Product,https://ru.mouser.com/ProductDetail/ADLINK-Technology/AMPAK-AP12356-WIFI-BT-KIT?qs=0lSvoLzn4L/BEepp84rS6Q==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AMPAK+AP12356+WIFI/BT+KIT&utm_content=ADLINK-Technology,,802.11 a/ac/b/g/n,,,PCIe,,,,,- 10 C,+ 70 C,WiFi,Bluetooth,,,,,,,,,
354-IAP420+US,IAP-420+-US,ORing,https://ru.mouser.com/datasheet/2/763/DataSheet_IAP-420(_)-1222879.pdf,1  In Stock,$402.74,,,https://ru.mouser.com/ProductDetail/ORing/IAP-420%2b-US?qs=j%2B1pi9TdxUYQ%2BmyJlbx1hA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IAP-420+-US&utm_content=ORing,IAP-420,,,,,,,,,,,WiFi,,,,,,,,,,
